Feature names,value,Objective Response
percentage_cluster6,0.0183752417794971,Positive Response
percentage_cluster7,0.035702772404900066,Positive Response
percentage_cluster0,0.0390748031496063,Positive Response
percentage_cluster1,0.0625984251968504,Positive Response
percentage_cluster2,0.21998031496062992,Positive Response
percentage_cluster3,0.007480314960629921,Positive Response
percentage_cluster4,0.39261811023622045,Positive Response
percentage_cluster5,0.1580708661417323,Positive Response
percentage_cluster6,0.09655511811023622,Positive Response
percentage_cluster7,0.023622047244094488,Positive Response
percentage_cluster0,0.17328519855595667,Negative Response
percentage_cluster1,0.10585110006130373,Negative Response
percentage_cluster2,0.23649615148831823,Negative Response
percentage_cluster3,0.006062257339418296,Negative Response
percentage_cluster4,0.11259450991076903,Negative Response
percentage_cluster5,0.15625638580478168,Negative Response
percentage_cluster6,0.18452421497173216,Negative Response
percentage_cluster7,0.024930181867720183,Negative Response
percentage_cluster0,0.061226158595171415,Negative Response
percentage_cluster1,0.08598237831428747,Negative Response
percentage_cluster2,0.17063597522333748,Negative Response
percentage_cluster3,0.1367827135760574,Negative Response
percentage_cluster4,0.005662653065396488,Negative Response
percentage_cluster5,0.18821677535417136,Negative Response
percentage_cluster6,0.3339125457407445,Negative Response
percentage_cluster7,0.01758080013083386,Negative Response
percentage_cluster0,0.1329972649755993,Positive Response
percentage_cluster1,0.03475089826781788,Positive Response
percentage_cluster2,0.14549257253177456,Positive Response
percentage_cluster3,0.04928406714216764,Positive Response
percentage_cluster4,0.10865018501635652,Positive Response
percentage_cluster5,0.21148173969003056,Positive Response
percentage_cluster6,0.30586689547916557,Positive Response
percentage_cluster7,0.011476376897088003,Positive Response
percentage_cluster0,0.16555977229601518,Positive Response
percentage_cluster1,0.09321631878557875,Positive Response
percentage_cluster2,0.09321631878557875,Positive Response
percentage_cluster3,0.04293168880455408,Positive Response
percentage_cluster4,0.010910815939278937,Positive Response
percentage_cluster5,0.17504743833017078,Positive Response
percentage_cluster6,0.3935009487666034,Positive Response
percentage_cluster7,0.025616698292220113,Positive Response
percentage_cluster0,0.36508127096955684,Positive Response
percentage_cluster1,0.059582701530734763,Positive Response
percentage_cluster2,0.09638277288726355,Positive Response
percentage_cluster3,0.06613515200998991,Positive Response
percentage_cluster4,0.13522748324150755,Positive Response
percentage_cluster5,0.08516813382093628,Positive Response
percentage_cluster6,0.16917672404920855,Positive Response
percentage_cluster7,0.023245761490802555,Positive Response
percentage_cluster0,0.04662921348314607,Positive Response
percentage_cluster1,0.11235955056179775,Positive Response
percentage_cluster2,0.019662921348314606,Positive Response
percentage_cluster3,0.009550561797752809,Positive Response
percentage_cluster4,0.0348314606741573,Positive Response
percentage_cluster5,0.6634831460674158,Positive Response
percentage_cluster6,0.08258426966292134,Positive Response
percentage_cluster7,0.03089887640449438,Positive Response
percentage_cluster0,0.22563965884861406,Positive Response
percentage_cluster1,0.0935501066098081,Positive Response
percentage_cluster2,0.11572494669509595,Positive Response
percentage_cluster3,0.004371002132196162,Positive Response
percentage_cluster4,0.1138592750533049,Positive Response
percentage_cluster5,0.30602345415778254,Positive Response
percentage_cluster6,0.1064498933901919,Positive Response
percentage_cluster7,0.034381663113006396,Positive Response
percentage_cluster0,0.014127468293466046,Positive Response
percentage_cluster1,0.078503772676192,Positive Response
percentage_cluster2,0.11350136458500562,Positive Response
percentage_cluster3,0.19224594637983625,Positive Response
percentage_cluster4,0.04751966607802215,Positive Response
percentage_cluster5,0.3023759833039011,Positive Response
percentage_cluster6,0.22403275004013484,Positive Response
percentage_cluster7,0.027693048643441964,Positive Response
percentage_cluster0,0.069288109528183,Negative Response
percentage_cluster1,0.0568145411051069,Negative Response
percentage_cluster2,0.10756316879899186,Negative Response
percentage_cluster3,0.1382558363057733,Negative Response
percentage_cluster4,0.34697451889190284,Negative Response
percentage_cluster5,0.07462782203806147,Negative Response
percentage_cluster6,0.1567526004399923,Negative Response
percentage_cluster7,0.049723402891988296,Negative Response
